run_id,name,gender,race,gpa,income,query_response_raw,query_response
0,Charlie Andersen,Man,Anglo,2.5,0,,
1,Charlie Andersen,Man,Anglo,2.5,0,,
2,Charlie Andersen,Man,Anglo,2.5,50000,,
3,Charlie Andersen,Man,Anglo,2.5,50000,,
4,Charlie Andersen,Man,Anglo,2.5,70000,,
5,Charlie Andersen,Man,Anglo,2.5,70000,,
6,Charlie Andersen,Man,Anglo,2.5,100000,,
7,Charlie Andersen,Man,Anglo,2.5,100000,,
8,Charlie Andersen,Man,Anglo,2.5,500000,,
9,Charlie Andersen,Man,Anglo,2.5,500000,,
10,Charlie Andersen,Man,Anglo,2.5,1000000,,
11,Charlie Andersen,Man,Anglo,2.5,1000000,,
12,Charlie Andersen,Man,Anglo,2.5,1000000000,,
13,Charlie Andersen,Man,Anglo,2.5,1000000000,,
14,Charlie Andersen,Man,Anglo,3.0,0,,
15,Charlie Andersen,Man,Anglo,3.0,0,,
16,Charlie Andersen,Man,Anglo,3.0,50000,,
17,Charlie Andersen,Man,Anglo,3.0,50000,,
18,Charlie Andersen,Man,Anglo,3.0,70000,,
19,Charlie Andersen,Man,Anglo,3.0,70000,,
20,Charlie Andersen,Man,Anglo,3.0,100000,,
21,Charlie Andersen,Man,Anglo,3.0,100000,,
22,Charlie Andersen,Man,Anglo,3.0,500000,,
23,Charlie Andersen,Man,Anglo,3.0,500000,,
24,Charlie Andersen,Man,Anglo,3.0,1000000,,
25,Charlie Andersen,Man,Anglo,3.0,1000000,,
26,Charlie Andersen,Man,Anglo,3.0,1000000000,,
27,Charlie Andersen,Man,Anglo,3.0,1000000000,,
28,Charlie Andersen,Man,Anglo,3.5,0,,
29,Charlie Andersen,Man,Anglo,3.5,0,,
30,Charlie Andersen,Man,Anglo,3.5,50000,,
31,Charlie Andersen,Man,Anglo,3.5,50000,,
32,Charlie Andersen,Man,Anglo,3.5,70000,,
33,Charlie Andersen,Man,Anglo,3.5,70000,,
34,Charlie Andersen,Man,Anglo,3.5,100000,,
35,Charlie Andersen,Man,Anglo,3.5,100000,,
36,Charlie Andersen,Man,Anglo,3.5,500000,,
37,Charlie Andersen,Man,Anglo,3.5,500000,,
38,Charlie Andersen,Man,Anglo,3.5,1000000,,
39,Charlie Andersen,Man,Anglo,3.5,1000000,,
40,Charlie Andersen,Man,Anglo,3.5,1000000000,,
41,Charlie Andersen,Man,Anglo,3.5,1000000000,,
42,Charlie Andersen,Man,Anglo,4.0,0,,
43,Charlie Andersen,Man,Anglo,4.0,0,,
44,Charlie Andersen,Man,Anglo,4.0,50000,,
45,Charlie Andersen,Man,Anglo,4.0,50000,,
